block_family,color,category,geometry_size,anchor_size,geometry_representation,geometry_status,visual_shape,primary_male_faces,primary_female_faces,allowed_orientations,default_packing_priority,current_solver_enabled,attachment_only,off_grid,requires_attachment_check,functional_role,functional_attachment_enabled,placement_mode,motion_type,motion_axis,angle_limits,anchor_connection_type,functional_motion,counts_as_structural_coverage,attachment_candidate_rule,visible_geometry_size,visible_geometry_layer_spec,anchor_geometry_layer_spec,clearance_reservation_size,clearance_reservation_layer_spec,geometry_coordinate_frame,local_axle_axis,world_axle_axis_policy,wheel_disc_plane_policy,wheel_vertical_axis_policy,stackability,support_quality_by_axis,bulk_fill_axes,stability_class,voxel_operation,requires_voxel_removal,insertion_policy,interface_rule,orientation_policy,canonical_orientation_policy,replacement_policy,source_segment_required,source_segment_policy,allowed_source_segment_policy,visible_geometry_may_be_off_grid,validate_with_anchor_size,geometry_preservation_policy,placement_origin_policy,source_geometry_anchor,shape_preservation_notes,prohibited_uses,do_not_resize_to_source_bbox,wheel_dimension_convention,wheel_axle_axis_default,attachment_side_policy,ground_contact_policy,catalog_validation_rule
rotation_block,purple,connector_part,2x2x2,2x2x1,mechanical_block_envelope,partial,cube_with_rotation,"+Z,-Z","+X,-X,+Y,-Y","X,Y,Z",,true,true,false,true,connector,false,in_between,free_rotation,XY,unlimited,rigid_or_articulated_per_connection_type,catalog_motion_type,false,generate_from_declared_segment_interface_or_connector_requirement,,,,,,,,,,,limited,+Z:limited,,moderate,insert_at_declared_segment_interface,false,place_between_declared_interfaces_or_at_declared_connector_anchor,align connector_faces to declared interfaces; do not replace structural source geometry,derive_from_interface_normals_and_local_connector_faces,derive_from_declared_interface_faces,none,false,generated_from_declared_interface_or_connector_requirement,declared_functional_interface,false,true,preserve source segments and place the connector at their interface,interface_center_and_declared_anchor_faces,segment_interface_contact_region,Connector parts are interface parts and do not repair unrelated shape gaps.,do_not_use_as_structural_filler; do_not_move_source_segments_to_force_placement,false,,,,,"validate interface alignment, connector-face compatibility, collisions, and required motion clearance"
hinge_block,pink,connector_part,2x2x2,2x2x1,mechanical_block_envelope,partial,cube_with_hinge,"+Z,-Z","+X,-X,+Y,-Y","X,Y,Z",,true,true,false,true,connector,false,in_between,hinge,XY or XZ,-90 to +90,rigid_or_articulated_per_connection_type,catalog_motion_type,false,generate_from_declared_segment_interface_or_connector_requirement,,,,,,,,,,,limited,+Z:limited,,moderate,insert_at_declared_segment_interface,false,place_between_declared_interfaces_or_at_declared_connector_anchor,align connector_faces to declared interfaces; do not replace structural source geometry,derive_from_interface_normals_and_local_connector_faces,derive_from_declared_interface_faces,none,false,generated_from_declared_interface_or_connector_requirement,declared_functional_interface,false,true,preserve source segments and place the connector at their interface,interface_center_and_declared_anchor_faces,segment_interface_contact_region,Connector parts are interface parts and do not repair unrelated shape gaps.,do_not_use_as_structural_filler; do_not_move_source_segments_to_force_placement,false,,,,,"validate interface alignment, connector-face compatibility, collisions, and required motion clearance"
big_wheel,red,functional_part,3x3x2,2x2x1,layered_wheel,partial,large_round_wheel_with_anchor,+N,,"X,Y,Z",,true,true,true,true,wheel,true,add_or_replace,free_rotation,axle_axis,unlimited,rigid,rotation,false,generate_from_declared_functional_anchor_or_replace_validated_wheel_source,3x3x1,local visible disc layer: 3x3x1; U/V are diameter axes; N is thickness/axle axis,local anchor/contact layer: 2x2x1 on attachment side along N; centered behind visible disc where allowed,4x4x1,local visible-side clearance: 4x4x1 in U/V with depth along N; anchor side uses 2x2x1,local_wheel_frame,N,derive_from_attachment_normal_or_task_metadata,world plane perpendicular to axle axis,align one disc diameter axis to task ground/vertical axis,no,attachment_normal:no_structural_support,,attachment_only,attach_at_declared_anchor_or_replace_validated_wheel_source,conditional_on_replacement,declared_anchor_or_validated_source_replacement,require_rigid_anchor_contact; preserve wheel clearance and motion capability,derive_world_axle_from_attachment_normal_or_task_coordinate_frame,construct_local_layered_geometry_then_map_local_axes_to_world_axes,add_at_declared_anchor_or_replace_only_a_validated_wheel_source,false,source_segment_optional_for_addition; required only for replacement,validated_wheel_semantics_or_declared_functional_anchor,true,true,"preserve catalog wheel geometry, anchor layer, and clearance; replan conflicting structural placements",derive_from_declared_anchor_or_validated_source_contact region; do_not_use_source_bounds as final part dimensions,validated_wheel_contact_region_or_declared_anchor,"Pairing, symmetry, and ground contact are task-level requirements; part geometry and anchor are catalog properties.",do_not_use_for_structural_fill; do_not_resize_to_source_bounds; do_not_ignore_clearance,true,"local layered wheel: U/V are disc diameter axes; N is thickness, axle, and attachment normal; map to world axes at placement",derived_from_attachment_normal_or_task_metadata; no catalog world-axis hardcode,local anchor normal N equals axle axis; world attachment face supplied by task metadata/interface,"when ground contact is required, align the visible bottom to the declared ground plane and map one disc diameter axis to the declared vertical axis","validate layered geometry, anchor contact, clearance, collision freedom, world-axis mapping, and task-declared symmetry or ground contact"
small_wheel,red,functional_part,2x2x1,2x2x1,layered_wheel,partial,small_round_wheel,+N,,"X,Y,Z",,true,true,true,true,wheel,true,add_or_replace,free_rotation,axle_axis,unlimited,rigid,rotation,false,generate_from_declared_functional_anchor_or_replace_validated_wheel_source,2x2x1,local visible round layer: 2x2x1; U/V are diameter axes; N is thickness/axle axis,local clasp/contact layer on attachment side along N; exact contact geometry must be validated,2x2x1,local 2x2x1 visible/detail clearance in U/V with depth along N unless task metadata overrides,local_wheel_frame,N,derive_from_attachment_normal_or_task_metadata,world plane perpendicular to axle axis,align one disc diameter axis to task ground/vertical axis,no,attachment_normal:no_structural_support,,attachment_only,attach_at_declared_anchor_or_replace_validated_wheel_source,conditional_on_replacement,declared_anchor_or_validated_source_replacement,require_rigid_anchor_contact; preserve wheel clearance and motion capability,derive_world_axle_from_attachment_normal_or_task_coordinate_frame,construct_local_layered_geometry_then_map_local_axes_to_world_axes,add_at_declared_anchor_or_replace_only_a_validated_wheel_source,false,source_segment_optional_for_addition; required only for replacement,validated_wheel_semantics_or_declared_functional_anchor,true,true,"preserve catalog wheel geometry, anchor layer, and clearance; replan conflicting structural placements",derive_from_declared_anchor_or_validated_source_contact region; do_not_use_source_bounds as final part dimensions,validated_wheel_contact_region_or_declared_anchor,"Pairing, symmetry, and ground contact are task-level requirements; part geometry and anchor are catalog properties.",do_not_use_for_structural_fill; do_not_resize_to_source_bounds; do_not_ignore_clearance,true,"local small wheel: U/V are disc diameter axes; N is thickness, axle, and attachment normal; map to world axes at placement",derived_from_attachment_normal_or_task_metadata; no catalog world-axis hardcode,local clasp/anchor normal N equals axle axis; world attachment face supplied by task metadata/interface,"when ground contact is required, align the visible bottom to the declared ground plane and map one disc diameter axis to the declared vertical axis","validate layered geometry, anchor contact, clearance, collision freedom, world-axis mapping, and task-declared symmetry or ground contact"
standard_2x2x2,blue,structural_block,2x2x2,2x2x1,solid_box,verified,rectangular_block,+Z,"-Z,+X,-X,+Y,-Y",X,1,true,false,false,false,structural,false,replace,,,,structural_male_female_contact,none,true,generate_by_structural_packer_with_catalog_geometry_and_connector_rules,,,,,,,,,,,yes,"+Z:strong,+X:strong,+Y:strong","+X,-X,+Y,-Y,+Z",stable,pack_within_source_segment_voxel_mask,false,place_inside_validated_source_segment_mask,require_valid_male_to_female_contact_after_orientation; reject_female_to_female_locking_contacts,allow_axis_aligned_orientation_permutations while preserving local connector-face roles,derive_from_geometry_size_allowed_orientations_and_local_connector_faces,cover_structural_source_geometry_only,true,pack_only_inside_validated_structural_source_segment_mask,validated_structural_segment,false,true,approximate the source segment within its original coordinate frame and mask,source_segment_voxel_occupancy,source_segment_voxel_mask_and_bounding_box,"Snapping, thickening, or simplification must be explicit and reported.",do_not_use_as_interface_connector; do_not_replace_functional_attachments,false,,,,,"validate_dimensions, orientation, source-mask containment, collision freedom, and at least one compatible locking contact when required"
standard_2x3x2,green,structural_block,2x3x2,2x3x1,solid_box,verified,rectangular_block,+Z,"-Z,+X,-X,+Y,-Y","X,Y,Z",1,true,false,false,true,structural,false,replace,,,,structural_male_female_contact,none,true,generate_by_structural_packer_with_catalog_geometry_and_connector_rules,,,,,,,,,,,yes,+Z local 2x3 male; -Z/+X/-X/+Y/-Y female; support depends on matched male-to-female contact and orientation,geometric span allowed after connector-face validation; do not treat local 2x2 or side faces as male faces,stable,pack_within_source_segment_voxel_mask,false,place_inside_validated_source_segment_mask,require_valid_male_to_female_contact_after_orientation; reject_female_to_female_locking_contacts,allow_axis_aligned_orientation_permutations while preserving local connector-face roles,derive_from_geometry_size_allowed_orientations_and_local_connector_faces,cover_structural_source_geometry_only,true,pack_only_inside_validated_structural_source_segment_mask,validated_structural_segment,false,true,approximate the source segment within its original coordinate frame and mask,source_segment_voxel_occupancy,source_segment_voxel_mask_and_bounding_box,"Snapping, thickening, or simplification must be explicit and reported.",do_not_use_as_interface_connector; do_not_replace_functional_attachments,false,,,,,"validate_dimensions, orientation, source-mask containment, collision freedom, and at least one compatible locking contact when required"
standard_2x4x2,yellow,structural_block,2x4x2,2x4x1,solid_box,verified,rectangular_block,+Z,"-Z,+X,-X,+Y,-Y","X,Y,Z",1,true,false,false,true,structural,false,replace,,,,structural_male_female_contact,none,true,generate_by_structural_packer_with_catalog_geometry_and_connector_rules,,,,,,,,,,,yes,+Z local 2x4 male; -Z/+X/-X/+Y/-Y female; support depends on matched male-to-female contact and orientation,geometric span allowed after connector-face validation; do not treat local 2x2 or side faces as male faces,stable,pack_within_source_segment_voxel_mask,false,place_inside_validated_source_segment_mask,require_valid_male_to_female_contact_after_orientation; reject_female_to_female_locking_contacts,allow_axis_aligned_orientation_permutations while preserving local connector-face roles,derive_from_geometry_size_allowed_orientations_and_local_connector_faces,cover_structural_source_geometry_only,true,pack_only_inside_validated_structural_source_segment_mask,validated_structural_segment,false,true,approximate the source segment within its original coordinate frame and mask,source_segment_voxel_occupancy,source_segment_voxel_mask_and_bounding_box,"Snapping, thickening, or simplification must be explicit and reported.",do_not_use_as_interface_connector; do_not_replace_functional_attachments,false,,,,,"validate_dimensions, orientation, source-mask containment, collision freedom, and at least one compatible locking contact when required"
feature_beam_3x1x1,black,beam_connector,3x1x1,1x1x1 per end,beam_envelope,partial,straight_open_beam,"+X,-X","+X,-X","X,Y,Z",,false,true,false,true,feature_or_attachment,false,add_on,,,,metadata_or_interface_dependent,none,false,generate_only_from_declared_feature_or_attachment_requirement,,,,,,,,,,,limited,"+Z:limited,+X:strong","+X,-X",moderate,attach_at_declared_feature_or_terminal_anchor,false,declared_feature_or_terminal_attachment_anchor,require_declared_compatible_attachment_interface,derive_from_attachment_faces_and_declared_feature orientation,derive_from_attachment_faces,none,false,generated_only_from_declared_feature_or_attachment_requirement,declared_feature_or_terminal_attachment,true,true,preserve the declared feature location and catalog geometry envelope,declared_feature_anchor_or_validated_source_contact region,declared_feature_anchor_or_source_contact region,Do not relocate source geometry to satisfy an undeclared symmetry assumption.,do_not_use_as_generic_structural_filler,false,,,,,require verified exact geometry before collision-critical placement; validate attachment faces and collisions
feature_beam_7x1x1,black,beam_connector,7x1x1,1x1x1 per end,beam_envelope,partial,straight_open_beam,"+X,-X","+X,-X","X,Y,Z",,false,true,false,true,feature_or_attachment,false,add_on,,,,metadata_or_interface_dependent,none,false,generate_only_from_declared_feature_or_attachment_requirement,,,,,,,,,,,limited,"+Z:limited,+X:strong","+X,-X",moderate,attach_at_declared_feature_or_terminal_anchor,false,declared_feature_or_terminal_attachment_anchor,require_declared_compatible_attachment_interface,derive_from_attachment_faces_and_declared_feature orientation,derive_from_attachment_faces,none,false,generated_only_from_declared_feature_or_attachment_requirement,declared_feature_or_terminal_attachment,true,true,preserve the declared feature location and catalog geometry envelope,declared_feature_anchor_or_validated_source_contact region,declared_feature_anchor_or_source_contact region,Do not relocate source geometry to satisfy an undeclared symmetry assumption.,do_not_use_as_generic_structural_filler,false,,,,,require verified exact geometry before collision-critical placement; validate attachment faces and collisions
feature_beam_curved,red,curved_beam_connector,6x2x1,1x1x1 per end,curved_beam_envelope,partial,curved_beam,"+X,-X","+X,-X","X,Y,Z",,false,true,true,true,feature_or_attachment,false,add_on,,,,metadata_or_interface_dependent,none,false,generate_only_from_declared_feature_or_attachment_requirement,,,,,,,,,,,limited,"+Z:limited,+X:limited",,moderate,attach_at_declared_feature_or_terminal_anchor,false,declared_feature_or_terminal_attachment_anchor,require_declared_compatible_attachment_interface,derive_from_attachment_faces_and_declared_feature orientation,derive_from_attachment_faces,none,false,generated_only_from_declared_feature_or_attachment_requirement,declared_feature_or_terminal_attachment,true,true,preserve the declared feature location and catalog geometry envelope,declared_feature_anchor_or_validated_source_contact region,declared_feature_anchor_or_source_contact region,Do not relocate source geometry to satisfy an undeclared symmetry assumption.,do_not_use_as_generic_structural_filler,false,,,,,require verified exact geometry before collision-critical placement; validate attachment faces and collisions
