segment_id,segment_label,segment_display_name,label_source,proposed_label,confirmed_label,confirmed_name,confirmation_status,confirmation_source,semantic_role,side,teacher_note,physical_group_id,physical_group_name,group_role,group_anchor_segment_id
1,left_wing,Left Lower Wing,simulated_teacher_confirmation,wing,left_wing,Left Lower Wing,confirmed,simulated_teacher_confirmation,main_lifting_surface,left,Outer lower wing on the low-X side of the airplane.,,,,
2,wing,Upper Wing,simulated_teacher_confirmation,wing,wing,Upper Wing,confirmed,simulated_teacher_confirmation,upper_lifting_surface,center,Single upper wing spanning both sides of the fuselage.,,,,
3,horizontal_tail,Left Horizontal Tail,simulated_teacher_confirmation,tail,horizontal_tail,Left Horizontal Tail,confirmed,simulated_teacher_confirmation,tail_surface,left,Left member of the mirrored horizontal-tail pair.,,,,
4,connector_strut,Left Wing Strut,simulated_teacher_confirmation,connector_strut,connector_strut,Left Wing Strut,confirmed,simulated_teacher_confirmation,wing_support,left,Support between the upper and lower wing structures.,,,,
5,left_wheel,Left Main Wheel,simulated_teacher_confirmation,wheel,left_wheel,Left Main Wheel,confirmed,simulated_teacher_confirmation,landing_gear_wheel,left,Left wheel target below the wing/fuselage.,,,,
6,fuselage,Fuselage,simulated_teacher_confirmation,body,fuselage,Fuselage,corrected,simulated_teacher_confirmation,main_body,center,Central longitudinal body and assembly root.,,,,
7,propeller_blade,Propeller Blade A,simulated_teacher_confirmation,propeller_blade,propeller_blade,Propeller Blade A,confirmed,simulated_teacher_confirmation,propeller_component,center,First source fragment belonging to the front propeller.,main_propeller,Propeller Assembly,propeller_member,6
8,right_wheel,Right Main Wheel,simulated_teacher_confirmation,wheel,right_wheel,Right Main Wheel,confirmed,simulated_teacher_confirmation,landing_gear_wheel,right,Right wheel target below the wing/fuselage.,,,,
9,propeller_blade,Propeller Blade B,simulated_teacher_confirmation,propeller_blade,propeller_blade,Propeller Blade B,confirmed,simulated_teacher_confirmation,propeller_component,center,Second source fragment belonging to the same front propeller.,main_propeller,Propeller Assembly,propeller_member,6
10,right_wing,Right Lower Wing,simulated_teacher_confirmation,wing,right_wing,Right Lower Wing,confirmed,simulated_teacher_confirmation,main_lifting_surface,right,Outer lower wing on the high-X side of the airplane.,,,,
11,horizontal_tail,Right Horizontal Tail,simulated_teacher_confirmation,tail,horizontal_tail,Right Horizontal Tail,confirmed,simulated_teacher_confirmation,tail_surface,right,Right member of the mirrored horizontal-tail pair.,,,,
12,connector_strut,Right Wing Strut,simulated_teacher_confirmation,connector_strut,connector_strut,Right Wing Strut,confirmed,simulated_teacher_confirmation,wing_support,right,Support between the upper and lower wing structures.,,,,
